('http://www.cnblogs.com/weihanli/', '[WeihanLi]')
('http://www.cnblogs.com/sxzhou/', '[道之有道]')
('http://www.cnblogs.com/shan333/', '[一乐乐]')
('http://www.cnblogs.com/EnSnail/', '[ESnail]')
('http://www.cnblogs.com/xibei/', '[那是山]')
('http://www.cnblogs.com/itqn/', '[HiIT青年]')
('http://www.cnblogs.com/readbyte/', '[读字节]')
('http://www.cnblogs.com/GeorgePigX/', '[GeorgePig]')
('http://www.cnblogs.com/dai-blog/', '[呆炜]')
('http://www.cnblogs.com/erhuoweirdo/', '[EhuoWeirdo]')
('http://www.cnblogs.com/three-fighter/', '[三分恶]')
('http://www.cnblogs.com/rossiXYZ/', '[罗西的思考]')
('http://www.cnblogs.com/longbensong/', '[风吹De麦浪]')
('http://www.cnblogs.com/df888/', '[dongfanger]')
('http://www.cnblogs.com/binecy/', '[binecy]')
('http://www.cnblogs.com/woshimrf/', '[Ryan.Miao]')
('http://www.cnblogs.com/henjay724/', '[痞子衡]')
('http://www.cnblogs.com/fnng/', '[虫师]')
('http://www.cnblogs.com/pingguo-softwaretesting/', '[把苹果v咬哭]')
('http://www.cnblogs.com/spritekuang/', '[spritekuang]')
('http://www.cnblogs.com/codists/', '[codists]')
('http://www.cnblogs.com/GodTestLove/', '[茕祇]')
('http://www.cnblogs.com/noear/', '[刘之西东]')
('http://www.cnblogs.com/bqzzz/', '[BaKuai]')
('http://www.cnblogs.com/weihanli/', '[WeihanLi]')
('http://www.cnblogs.com/bbgs-xc/', '[MXC肖某某]')
('http://www.cnblogs.com/WindrunnerMax/', '[WindrunnerMax]')
('http://www.cnblogs.com/fxsenblog/', '[ITfxsen]')
('http://www.cnblogs.com/appsucc/', '[IT文艺男]')
('http://www.cnblogs.com/yuxiuyan/', '[于果alpha]')
('http://www.cnblogs.com/shanyou/', '[张善友]')
('http://www.cnblogs.com/wj-1314/', '[战争热诚]')
('http://www.cnblogs.com/ideryi/', '[ideryi]')
('http://www.cnblogs.com/sprinining/', '[Sprinining]')
('http://www.cnblogs.com/lucky815/', '[呼延灼]')
('http://www.cnblogs.com/shan333/', '[一乐乐]')
('http://www.cnblogs.com/wangpenghui522/', '[孤舟蓑翁]')
('http://www.cnblogs.com/0x7e/', '[0X7e]')
('http://www.cnblogs.com/gouden/', '[Gouden]')
('http://www.cnblogs.com/xiaoshun-mjj/', '[Lu-顺]')
('http://www.cnblogs.com/cjsblog/', '[废物大师兄]')
('http://www.cnblogs.com/shaonianpi/', '[少年π]')
('http://www.cnblogs.com/qixing/', '[七星6609]')
('http://www.cnblogs.com/hzmanage/', '[大风无痕]')
('http://www.cnblogs.com/wingcode/', '[wing_rg]')
('http://www.cnblogs.com/lzqdeboke/', '[Anm半夏]')
('http://www.cnblogs.com/1zhan/', '[Jie啊]')
('http://www.cnblogs.com/luciochn/', '[Mr_ηobody]')
('http://www.cnblogs.com/xiongze520/', '[熊泽-学习中的苦与乐]')
('http://www.cnblogs.com/xi77/', '[铲屎官_a]')
('http://www.cnblogs.com/zhxdick/', '[干货满满张哈希]')
('http://www.cnblogs.com/myc819/', '[乌鸦坐飞机666]')
('http://www.cnblogs.com/jianxiaochun/', '[剑小纯]')
('http://www.cnblogs.com/Courage129/', '[等不到的口琴]')
('http://www.cnblogs.com/iFrank/', '[流星斩月]')
('http://www.cnblogs.com/cjcbreakingbad/', '[小岛Br夫]')
('http://www.cnblogs.com/powercto/', '[狼爷]')
('http://www.cnblogs.com/df888/', '[dongfanger]')
('http://www.cnblogs.com/rangers-sun/', '[列兵许三多]')
('http://www.cnblogs.com/npeng/', '[LemonSquash]')
('http://www.cnblogs.com/huangrenhui/', '[码猿手]')
('http://www.cnblogs.com/cathyqq/', '[是倩倩不是欠欠]')
('http://www.cnblogs.com/gian-t87/', '[小荀彧]')
('http://www.cnblogs.com/mazhuang/', '[mzlogin]')
('http://www.cnblogs.com/Yee-Q/', '[低吟不作语]')
('http://www.cnblogs.com/zyx-shadow/', '[山斗]')
('http://www.cnblogs.com/appsucc/', '[IT文艺男]')
('http://www.cnblogs.com/hacker-linner/', '[为少]')
('http://www.cnblogs.com/shouke/', '[授客]')
('http://www.cnblogs.com/TheGCC/', '[糖拌西红柿]')
('http://www.cnblogs.com/timedot/', '[timedot]')
('http://www.cnblogs.com/GeorgePigX/', '[GeorgePig]')
('http://www.cnblogs.com/he-zhidan/', '[软件架构师何志丹]')
('http://www.cnblogs.com/cyqf/', '[赤叶秋枫]')
('http://www.cnblogs.com/sc912/', '[GSY921]')
('http://www.cnblogs.com/iflyendless/', '[行无际]')
('http://www.cnblogs.com/gonghr/', '[gonghr]')
('http://www.cnblogs.com/C202044zxy/', '[C202044zxy]')
('http://www.cnblogs.com/xianyi-yk/', '[鲜衣]')
('http://www.cnblogs.com/fish-studio/', '[fish-studio]')
('http://www.cnblogs.com/sewain/', '[sewain]')
('http://www.cnblogs.com/zhujiqian/', '[朱季谦]')
('http://www.cnblogs.com/Tom-shushu/', '[Tom-shushu]')
('http://www.cnblogs.com/for-easy-fast/', '[明志德道]')
('http://www.cnblogs.com/chuganghong/', '[东垂小夫]')
('http://www.cnblogs.com/xushuotec/', '[老韩头的码字生活]')
('http://www.cnblogs.com/MSReactor/', '[MicrosoftReactor]')
